"V4" "V5" "V6" "V7" "V8" "V9"
"65" 15.1 5 42 17 25 164
"66" 22.7 16 88 9 8 44
"67" 33 27 37 19 65 153
"68" 14.2 5 76 13 20 183
"69" 37.7 35 52 7 59 167
"70" 12.3 0 56 30 23 80
"71" 37.7 37 59 15 26 86
"72" 34.9 31 62 0 63 151
"73" 30.2 25 36 22 258 323
"74" 29.2 25 38 33 71 168
"75" 32.1 27 58 26 59 178
"76" 9.5 -1 47 9 12 52
"77" 18 11 94 9 4 28
"78" 29.2 24 65 17 115 136
"79" 30.2 25 69 19 66 128
"80" 42.4 42 40 20 43 118
"81" 24.5 18 52 13 53 238
"82" 29.2 23 78 13 38 186
"83" 18.9 12 41 20 52 90
"84" 24.5 18 83 7 57 181
"85" 28.3 25 57 7 196 350
"86" 32.1 26 42 17 65 199
"87" 14.2 3 61 24 17 72
"88" 20.8 14 55 0 36 86
"89" 13.3 2 33 22 56 218
"90" 18 11 71 13 180 271
"91" 25.5 19 43 13 19 149
"92" 33.9 29 55 22 40 126
"93" 29.2 25 57 6 49 168
"94" 30.2 25 74 0 191 314
"95" 25.5 19 43 0 35 131
"96" 19.8 13 16 39 47 76
"97" 11.4 2 56 9 17 86
"98" 12.3 2 52 15 16 73
"99" 16.1 8 46 7 69 169
"100" 33.9 30 70 19 187 272
"101" 32.1 27 65 15 171 178
"102" 32.1 27 61 0 77 181
"103" 25.5 19 43 0 132 215
"104" 32.1 28 84 11 10 52
"105" 29.2 24 73 0 46 151
"106" 34.9 28 35 17 59 128
"107" 19.8 13 62 7 110 172
"108" 23.6 17 68 7 11 107
"109" 25.5 19 37 13 71 167
"110" 22.7 16 72 11 59 109
"111" 17 10 82 22 30 102
"112" 25.5 19 35 19 159 218
"113" 15.1 7 61 6 66 327
"114" 30.2 24 78 9 131 230
"115" 34.9 29 45 6 184 315
"116" 28.3 25 38 6 235 351
"117" 27.4 25 38 15 49 108
"118" 18.9 12 82 13 4 57
"119" 32.1 27 70 7 38 176
"120" 20.8 14 67 26 9 99
"121" 11.4 3 56 6 6 82
"122" 35.8 33 62 11 61 156
"123" 18.9 12 58 6 104 216
"124" 30.2 25 69 9 56 174
"125" 15.1 6 87 13 18 53
"126" 15.1 4 34 20 7 59
"127" 13.3 6 49 0 6 78
"128" 15.1 6 66 11 18 142
"129" 35.8 32 55 17 47 171
"130" 33 29 70 7 143 296
"131" 33 29 62 19 143 314
"132" 10.4 0 60 9 6 55
"133" 34.9 31 58 9 56 173
"134" 2.9 -8 42 6 6 40
"135" 20.8 14 88 15 68 164
"136" 11.4 1 41 15 49 155
"137" 37.7 35 52 11 39 86
"138" 16.1 7 66 11 22 149
"139" 17 10 43 22 38 142
"140" 11.4 1 60 11 20 104
"141" 15.1 5 36 17 8 155
"142" 25.5 19 40 26 153 221
"143" 18.9 12 41 17 139 104
"144" 19.8 13 100 6 3 47
"145" 18 11 94 17 106 217
"146" 23.6 17 32 9 42 177
"147" 41.5 40 42 19 51 137
"148" 19.8 13 54 19 20 66
"149" 17 10 54 20 10 112
"150" 38.6 33 39 11 55 110
"151" 16.1 7 81 9 13 62
"152" 27.4 25 43 17 44 203
"153" 18 11 82 17 6 99
"154" 34.9 31 62 30 173 405
"155" 36.8 36 63 19 132 181
"156" 18 11 58 7 143 323
"157" 16.1 8 81 7 27 136
"158" 34.9 28 29 0 48 108
"159" 12.3 2 28 15 57 198
"160" 10.4 -1 60 15 20 168
"161" 14.2 6 66 7 6 24
"162" 34.9 29 45 7 49 166
"163" 12.3 2 45 17 8 48
"164" 40.5 35 32 11 53 66
"165" 29.2 24 69 7 121 214
"166" 39.6 34 34 13 66 151
"167" 35.8 33 62 15 138 211
"168" 15.1 7 53 6 31 170
"169" 28.3 22 83 19 10 74
"170" 6.7 -1 64 0 7 43
"171" 41.5 43 50 7 23 86
"172" 10.4 -4 38 41 12 102
"173" 33.9 29 62 0 69 127
"174" 13.3 2 87 20 6 59
"175" 26.4 20 94 9 7 92
"176" 33 27 42 9 28 143
"177" 23.6 17 48 19 46 120
"178" 31.1 26 61 7 84 196
"179" 16.1 6 40 17 26 45
"180" 16.1 7 50 15 40 128
"181" 13.3 6 70 0 46 224
"182" 26.4 20 81 9 39 145
"183" 16.1 6 46 26 56 284
"184" 33 28 51 11 67 227
"185" 27.4 21 83 13 41 211
"186" 11.4 1 65 15 5 97
"187" 18 11 37 19 14 125
"188" 38.6 37 53 15 57 125
"189" 30.2 24 78 11 52 178
"190" 33 27 34 22 46 85
"191" 7.6 -2 93 7 0 30
"192" 9.5 2 75 0 9 50
"193" 33 29 66 6 45 120
"194" 4.8 -9 42 20 3 121
"195" 13.3 4 70 11 43 42
"196" 32.1 27 58 19 189 437
"197" 32.1 28 74 13 208 312
"198" 11.4 4 35 0 31 166
"199" 36.8 30 31 0 42 94
"200" 33.9 30 66 15 37 112
