"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"84" 3 1 1 38.6 32 28 20 67 134
"85" 4 1 3 19.8 13 100 6 3 47
"86" 3 0 1 32.1 28 79 13 81 117
"87" 3 0 1 43.3 42 38 13 122 245
"88" 2 1 2 18.9 12 71 20 32 47
"89" 3 0 2 27.4 21 83 17 80 225
"90" 1 0 1 19.8 13 41 28 88 93
"91" 1 0 1 12.3 2 28 15 57 198
"92" 3 1 2 38.6 39 59 13 24 83
"93" 2 1 1 23.6 17 27 28 96 127
"94" 3 0 3 30.2 25 69 19 66 128
"95" 2 1 1 39.6 37 47 0 28 78
"96" 3 1 1 38.6 37 53 15 57 125
"97" 1 1 1 11.4 -2 48 30 19 41
"98" 4 0 1 25.5 19 40 26 153 221
"99" 3 1 1 30.2 25 50 11 71 183
"100" 3 0 1 33 27 45 9 127 219
"101" 1 1 1 16.1 6 62 28 9 133
"102" 1 0 1 16.1 6 43 19 90 209
"103" 2 1 2 30.2 25 54 30 64 182
"104" 4 1 2 16.1 7 66 15 37 152
"105" 2 0 1 20.8 14 51 0 128 283
"106" 1 1 1 24.5 18 73 19 64 155
"107" 2 0 3 17 10 87 20 7 70
"108" 2 1 1 31.1 26 65 26 40 132
"109" 2 1 1 21.7 15 23 0 91 167
"110" 2 1 2 28.3 22 83 19 10 74
"111" 2 1 2 28.3 25 59 20 45 156
"112" 4 0 1 24.5 18 52 15 204 408
"113" 2 0 1 25.5 19 43 0 132 215
"114" 4 1 2 22.7 16 72 28 9 107
"115" 1 1 2 19.8 13 44 17 19 71
"116" 3 1 2 28.3 22 83 11 42 138
"117" 4 0 2 10.4 -1 60 15 20 168
"118" 2 1 1 26.4 20 73 20 34 96
"119" 3 1 2 33 29 66 6 45 120
"120" 2 1 3 15.1 6 66 13 23 83
"121" 2 0 2 23.6 17 94 9 72 207
"122" 1 1 1 18 11 58 30 26 148
"123" 1 1 1 16.1 6 53 19 13 125
"124" 2 1 1 33 27 37 19 65 153
"125" 3 1 1 34.9 28 33 0 79 202
"126" 4 1 2 20.8 14 67 26 9 99
"127" 4 1 1 14.2 4 70 17 22 133
"128" 2 1 1 29.2 24 73 0 46 151
"129" 2 1 1 30.2 25 57 17 60 168
"130" 1 1 1 18.9 12 38 20 33 128
"131" 3 1 2 31.1 26 65 9 39 120
"132" 4 0 1 22.7 16 63 24 83 157
"133" 4 1 2 33 28 51 11 67 227
"134" 3 1 1 39.6 34 34 13 66 151
"135" 4 1 1 15.1 5 42 17 25 164
"136" 3 0 1 32.1 27 65 0 144 258
"137" 3 0 2 33.9 30 70 19 187 272
"138" 3 1 1 34.9 28 35 17 59 128
"139" 1 0 2 18 11 76 15 43 116
"140" 4 1 2 27.4 25 49 7 35 112
"141" 1 1 1 10.4 1 41 7 16 53
"142" 3 0 1 33.9 28 42 11 167 282
"143" 2 0 1 33 29 66 9 254 222
"144" 4 1 1 14.2 4 49 17 25 126
"145" 1 1 1 14.2 4 53 20 15 149
"146" 4 0 2 19.8 13 62 7 110 172
"147" 4 0 1 15.1 6 81 11 48 206
"148" 4 1 2 18 11 71 15 26 100
"149" 2 0 1 20.8 14 82 7 109 141
"150" 3 0 1 29.2 25 47 11 183 376
"151" 1 1 3 9.5 -3 93 22 6 35
"152" 1 1 1 9.5 -1 51 11 3 61
"153" 4 0 2 18 11 62 6 72 236
"154" 3 1 2 33 29 62 9 72 144
"155" 2 0 1 20.8 14 41 28 119 185
"156" 4 1 3 13.3 2 87 20 6 59
"157" 3 1 2 35.8 32 55 9 69 146
"158" 4 0 2 11.4 1 41 15 49 155
"159" 1 1 1 10.4 -1 52 15 4 95
"160" 4 0 2 30.2 24 78 9 131 230
"161" 4 1 1 18 11 50 13 43 198
"162" 4 0 1 15.1 7 61 6 66 327
"163" 4 1 1 24.5 18 64 19 22 102
"164" 3 1 1 30.2 25 47 11 38 100
"165" 1 1 1 25.5 19 68 11 56 145
"166" 3 1 1 32.1 27 54 9 73 137
"167" 1 1 1 15.1 5 36 17 8 155
"168" 1 1 1 18.9 12 38 20 8 93
"169" 3 1 1 30.2 25 65 7 90 151
"170" 2 1 1 29.2 25 31 22 57 135
"171" 1 0 1 14.2 3 45 26 64 192
"172" 4 1 1 21.7 15 77 13 24 183
"173" 2 1 2 15.1 6 87 13 18 53
"174" 2 0 2 22.7 16 94 13 98 175
"175" 3 1 2 33.9 29 58 7 29 93
"176" 1 1 1 21.7 15 48 19 54 128
"177" 1 1 1 19.8 13 72 11 31 82
"178" 4 1 3 24.5 18 94 22 18 102
"179" 2 0 1 26.4 20 46 19 179 357
"180" 3 0 2 33 29 62 19 143 314
"181" 4 0 1 16.1 8 46 7 69 169
"182" 1 1 2 8.6 -5 44 30 4 33
"183" 4 1 1 11.4 1 48 11 16 162
"184" 3 0 3 29.2 23 78 11 83 189
"185" 4 0 1 25.5 19 35 19 159 218
"186" 4 1 1 29.2 25 57 6 49 168
"187" 1 0 1 13.3 4 70 11 43 42
"188" 1 1 3 18 11 82 17 6 99
"189" 1 1 2 7.6 0 86 0 2 49
"190" 4 1 2 16.1 6 53 24 28 145
"191" 3 1 1 33 27 45 0 67 186
"192" 4 1 2 14.2 4 49 15 24 148
"193" 4 1 2 22.7 16 72 11 59 109
"194" 1 1 1 11.4 -1 33 22 12 34
"195" 3 1 1 38.6 35 47 22 67 184
"196" 2 1 1 28.3 25 43 6 65 161
"197" 2 1 1 33.9 28 42 9 39 72
"198" 2 0 1 33 29 62 9 134 270
"199" 4 1 1 30.2 24 78 11 52 178
"200" 2 1 1 18.9 12 47 30 81 128
"201" 2 1 2 30.2 25 65 13 53 155
"202" 2 1 1 27.4 25 33 28 65 174
"203" 4 1 2 11.4 3 60 6 15 100
"204" 4 1 2 30.2 23 89 7 26 97
"205" 4 0 2 14.2 5 81 11 81 274
"206" 4 1 3 23.6 17 94 17 33 116
"207" 3 1 1 38.6 32 32 6 92 141
"208" 2 1 1 28.3 24 69 6 31 87
"209" 4 1 1 21.7 15 77 9 51 182
"210" 2 1 2 11.4 0 30 19 18 39
"211" 2 1 2 18 11 62 26 19 79
"212" 4 1 2 24.5 18 83 7 57 181
"213" 1 0 2 13.3 4 33 11 72 89
"214" 3 1 1 34.9 32 66 9 108 152
"215" 4 1 3 14.2 4 66 22 4 93
"216" 4 1 2 15.1 8 55 0 12 103
"217" 3 1 1 33 28 54 20 57 128
"218" 2 1 1 22.7 16 42 26 54 168
"219" 4 1 2 21.7 15 69 13 37 156
"220" 1 0 2 18 11 87 6 33 181
"221" 3 0 2 30.2 25 74 0 191 314
"222" 2 1 2 24.5 18 49 22 42 123
"223" 1 1 2 19.8 13 77 0 10 135
"224" 1 0 2 16.1 6 71 17 16 54
"225" 1 1 1 14.2 5 66 13 45 126
"226" 2 0 1 35.8 32 55 7 131 236
"227" 4 1 1 22.7 16 45 15 39 135
"228" 4 1 2 27.4 23 73 26 88 175
"229" 1 1 2 8.6 -3 40 15 19 48
"230" 4 1 1 24.5 18 49 0 29 115
"231" 1 1 1 15.1 4 53 22 8 65
"232" 1 0 1 6.7 -6 59 17 21 158
"233" 1 0 2 14.2 6 57 7 20 70
"234" 3 0 2 23.6 17 68 15 119 248
"235" 4 1 3 26.4 20 94 9 7 92
"236" 4 1 3 20.8 14 94 17 4 28
"237" 4 1 3 23.6 17 88 11 11 76
"238" 4 0 3 17 10 82 22 30 102
"239" 3 1 1 33.9 30 70 11 37 108
"240" 1 1 1 9.5 -4 41 31 6 53
"241" 2 1 2 27.4 21 83 11 24 82
"242" 3 1 1 37.7 36 56 20 39 89
"243" 1 1 1 13.3 4 56 11 8 130
"244" 1 1 2 12.3 4 87 6 5 47
"245" 3 1 1 33.9 28 51 15 40 110
"246" 4 1 1 18 11 37 20 18 112
"247" 2 1 2 24.5 18 52 6 36 87
"248" 3 0 1 36.8 31 36 6 144 213
"249" 1 1 2 14.2 3 42 28 12 150
"250" 4 1 2 30.2 25 69 0 109 252
"251" 2 0 2 18 11 87 9 93 109
"252" 2 0 3 18.9 12 94 30 4 27
"253" 2 0 1 28.3 24 61 22 260 348
"254" 1 1 1 11.4 1 38 0 6 93
"255" 4 1 1 27.4 25 46 19 32 138
"256" 2 0 1 28.3 25 57 7 196 350
"257" 3 1 1 28.3 25 43 20 69 167
"258" 3 1 1 34.9 31 58 6 54 180
"259" 3 1 2 34.9 30 52 17 44 103
"260" 3 0 1 34.9 31 62 30 173 405
"261" 1 1 1 8.6 -4 40 22 10 41
"262" 3 1 1 37.7 35 52 9 30 112
"263" 2 1 1 34.9 31 62 20 50 147
"264" 3 1 1 33 27 37 15 38 110
"265" 2 0 2 18 11 94 17 106 217
"266" 1 1 2 12.3 3 45 7 19 134
"267" 1 0 1 13.3 1 39 41 23 187
"268" 3 1 2 41.5 40 42 19 51 137
"269" 2 1 2 33.9 29 55 22 40 126
"270" 3 1 1 32.1 27 61 11 33 120
"271" 3 1 1 36.8 36 63 6 26 116
"272" 2 1 2 24.5 18 88 11 25 96
"273" 4 1 1 23.6 17 48 19 46 120
"274" 3 0 3 30.2 23 89 28 15 73
"275" 1 0 1 13.3 4 56 9 55 241
"276" 1 1 2 12.3 0 56 30 23 80
"277" 2 1 1 13.3 3 45 19 17 58
"278" 4 1 1 21.7 15 55 35 30 99
"279" 3 1 2 30.2 25 74 7 51 141
"280" 1 1 3 14.2 6 70 7 2 69
"281" 3 0 1 33.9 30 66 11 203 296
"282" 3 0 1 39.6 33 28 11 112 163
"283" 2 0 2 29.2 24 69 7 121 214
"284" 4 1 1 15.1 5 46 15 31 119
"285" 1 0 2 7.6 -3 64 9 4 60
"286" 3 0 2 36.8 34 55 15 219 273
"287" 1 1 1 23.6 17 77 30 9 50
"288" 1 1 1 9.5 -1 47 9 12 52
"289" 2 0 1 30.2 25 65 9 124 193
"290" 2 0 2 18 11 71 13 180 271
"291" 3 1 1 37.7 35 52 7 59 167
"292" 4 1 1 11.4 0 65 17 22 105
"293" 2 1 1 29.2 25 38 33 71 168
"294" 1 0 1 11.4 -2 35 33 33 142
"295" 3 1 2 28.3 24 69 15 61 191
"296" 4 0 1 29.2 24 65 17 258 389
"297" 4 1 3 22.7 16 88 9 8 44
"298" 1 1 2 8.6 -4 32 24 6 117
"299" 1 1 2 15.1 5 57 15 27 51
"300" 1 1 1 5.7 -8 39 24 1 44
"301" 4 0 1 25.5 19 64 19 197 388
"302" 1 0 1 12.3 1 41 24 29 130
"303" 2 1 1 41.5 40 42 15 36 82
"304" 2 1 2 23.6 17 94 0 53 166
"305" 2 1 2 32.1 27 61 0 77 181
"306" 4 0 1 20.8 14 72 11 131 202
"307" 3 1 1 33.9 27 30 22 64 145
"308" 4 0 2 28.3 22 83 6 118 268
"309" 1 0 3 6.7 -6 80 17 18 115
"310" 3 1 1 33 29 66 11 43 121
"311" 2 1 2 20.8 14 94 15 16 135
"312" 1 0 2 23.6 17 77 9 226 359
"313" 1 1 1 9.5 -4 47 31 1 49
"314" 4 1 1 18 11 66 7 99 127
"315" 1 1 2 10.4 -1 93 13 5 47
"316" 2 1 2 27.4 25 43 24 61 152
"317" 4 1 1 26.4 20 46 0 76 196
"318" 4 0 2 18 11 87 7 63 341
"319" 4 0 2 12.3 1 41 20 55 131
"320" 3 1 2 38.6 37 53 22 45 156
"321" 2 1 2 27.4 24 64 26 60 157
"322" 4 1 1 14.2 4 65 13 31 180
"323" 2 1 1 31.1 26 69 17 43 138
"324" 4 1 1 16.1 7 37 15 13 150
"325" 4 0 1 28.3 25 53 6 189 234
"326" 4 0 1 18.9 12 58 6 104 216
"327" 3 1 1 34.9 28 37 6 83 191
"328" 1 1 2 10.4 1 60 6 23 99
"329" 3 1 2 35.8 33 62 11 61 156
"330" 3 1 1 34.9 29 40 6 85 191
"331" 2 0 1 29.2 25 53 9 173 245
"332" 1 0 1 8.6 -3 55 15 18 54
"333" 2 0 1 30.2 25 36 22 258 323
"334" 1 1 2 21.7 15 94 9 10 95
"335" 3 1 1 36.8 32 43 22 54 127
"336" 2 1 1 33.9 27 28 26 42 123
"337" 2 0 1 19.8 13 24 20 251 244
"338" 1 1 2 9.5 -1 60 13 43 114
"339" 2 0 1 22.7 16 42 24 120 201
"340" 4 1 1 24.5 18 52 13 53 238
"341" 1 1 1 16.1 7 46 13 9 120
"342" 3 0 1 35.8 30 46 20 101 189
"343" 4 1 2 23.6 17 83 7 16 112
"344" 1 0 1 16.1 6 81 19 26 30
"345" 3 1 1 30.2 24 83 11 52 119
"346" 3 0 1 33.9 28 48 15 171 225
"347" 3 1 2 34.9 31 62 0 63 151
"348" 4 1 3 28.3 18 100 7 1 20
"349" 3 1 1 36.8 31 38 22 56 147
"350" 4 1 1 27.4 25 46 20 63 155
"351" 3 1 3 24.5 18 83 26 11 78
"352" 4 1 2 14.2 3 51 24 15 132
"353" 1 0 3 9.5 -1 100 9 1 46
"354" 3 1 2 33.9 30 70 19 39 159
"355" 3 0 2 33 29 70 7 143 296
"356" 3 1 1 36.8 31 41 26 54 95
"357" 1 1 2 15.1 7 87 7 2 73
"358" 2 0 1 33 29 66 15 268 251
"359" 3 1 1 34.9 0 52 19 98 205
"360" 3 1 1 41.5 43 50 7 23 86
"361" 2 1 1 20.8 14 36 9 75 158
"362" 3 1 1 33.9 30 66 13 47 182
"363" 1 1 1 10.4 -4 38 41 12 102
"364" 3 1 1 37.7 31 30 0 49 102
"365" 2 1 3 12.3 2 93 13 6 52
"366" 4 1 1 15.1 5 49 17 7 95
"367" 3 1 1 36.8 37 66 15 69 143
"368" 2 0 1 28.3 25 38 6 235 351
"369" 1 1 2 13.3 2 61 20 52 105
"370" 2 1 2 23.6 17 83 11 38 154
"371" 3 0 1 34.9 30 55 19 147 244
"372" 4 1 2 23.6 17 68 7 11 107
"373" 4 1 1 20.8 14 67 11 21 131
"374" 1 0 2 2 -11 38 9 4 59
"375" 1 1 2 6.7 -7 47 19 2 28
"376" 3 1 2 33.9 31 74 17 61 104
"377" 2 1 1 27.4 25 38 15 49 108
"378" 1 1 3 13.3 3 87 13 1 9
"379" 2 1 1 37.7 34 46 0 46 107
"380" 1 1 1 18 11 58 11 27 116
"381" 2 1 1 32.1 27 54 9 55 212
"382" 1 0 1 19.8 13 16 39 47 76
"383" 2 0 1 23.6 17 55 13 41 95
"384" 4 1 1 15.1 5 46 17 9 115
"385" 4 1 1 20.8 14 36 0 76 175
"386" 2 0 1 29.2 25 41 17 199 312
"387" 4 1 1 18 11 50 13 121 130
"388" 2 0 2 10.4 0 48 11 23 85
"389" 2 1 1 32.1 26 42 17 65 199
"390" 3 1 1 36.8 34 55 6 42 99
"391" 1 1 2 12.3 2 52 15 71 107
"392" 2 1 2 25.5 19 83 15 12 67
"393" 3 1 1 33 28 58 6 71 196
"394" 3 1 3 32.1 28 84 11 10 52
"395" 4 0 1 20.8 14 40 28 108 187
"396" 1 1 1 13.3 6 49 0 6 78
"397" 1 1 2 6.7 -6 59 13 2 46
"398" 2 1 2 37.7 37 59 15 26 86
"399" 2 1 2 29.2 23 78 19 53 103
"400" 4 0 1 18.9 12 35 9 192 335
